glücklich;szczęśliwy
traurig;smutny
wütend;zły
ängstlich;zaniepokojony
enttäuscht;rozczarowany
neugierig;ciekawy
verliebt;zakochany
erschrocken;przerażony
erleichtert;ulżony
verwirrt;zdezorientowany
erregt;podniecony
besorgt;zaniepokojony
stolz;dumny
erschöpft;zmęczony
überrascht;zaskoczony
erfreut;zadowolony
verärgert;zirytowany
hoffnungsvoll;pełen nadziei
unglücklich;nieszczęśliwy
verzweifelt;zdesperowany
einsam;samotny
gespannt;napięty
empört;oburzony
zufrieden;zadowolony
gelangweilt;znudzony
begeistert;zachwycony
mutlos;beznadziejny
optimistisch;optymistyczny
pessimistisch;pesymistyczny
dankbar;wdzięczny
unzufrieden;niezadowolony
liebevoll;z miłością
zornig;gniewny
ungläubig;niedowierzający
beschämt;zawstydzony
fröhlich;radosny
traurig;smutny
verlegen;zakłopotany
erleichtert;ulżony
besorgt;zaniepokojony
beunruhigt;niepokojony
unbesorgt;beztroski
panisch;panikujący
verängstigt;przerażony
Traurigkeit;smutek
Angst;strach
Freude;radość
Wut;gniew
Liebe;miłość
Eifersucht;zazdrość
Hoffnung;nadzieja
Enttäuschung;rozczarowanie
Verwirrung;zakłopotanie
Erleichterung;ulga
