der Hund; pies
die Katze; kot
das Pferd; koń
der Vogel; ptak
das Kaninchen; królik
die Maus; mysz
der Fisch; ryba
die Schlange; wąż
die Schildkröte; żółw
der Affe; małpa
der Tiger; tygrys
die Löwe; lew
der Elefant; słoń
das Krokodil; krokodyl
das Nashorn; nosorożec
der Bär; niedźwiedź
das Reh; jeleń
der Fuchs; lis
der Hase; zając
der Adler; orzeł
die Giraffe; żyrafa
der Delphin; delfin
der Wal; wieloryb
das Känguru; kangur
der Schmetterling; motyl
die Biene; pszczoła
die Ameise; mrówka
die Spinne; pająk
die Eule; sowa
der Papagei; papuga
die Ziege; koza
das Schaf; owca
das Schwein; świnia
die Kuh; krowa
der Hahn; kogut
das Huhn; kurczak
die Ente; kaczka
der Esel; osioł
das Kamel; wielbłąd
der Frosch; żaba
die Krabbe; krab
der Hai; rekin
der Delfin; delfin
der Schwan; łabędź
der Gorilla; goryl
das Eichhörnchen; wiewiórka
das Erdmännchen; surykatka
der Pinguin; pingwin
der Zebra; zebra
die Schlange; wąż
der Fledermaus; nietoperz
das Krokodil; krokodyl
die Eidechse; jaszczurka
der Skorpion; skorpion
die Libelle; ważka
das Wildschwein; dzik
der Luchs; ryś
das Rentier; renifer
der Flamingo; flaming
die Gazelle; gazela
das Chamäleon; kameleon
der Kolibri; koliber
das Murmeltier; świstak
der Tintenfisch; kałamarnica
die Möwe; mewa
das Känguru; kangur
der Aal; węgorz
der Storch; bocian
das Eichhörnchen; wiewiórka
der Papagei; papuga
das Nashorn; nosorożec
die Giraffe; żyrafa
der Löwe; lew
das Nilpferd; hipopotam
das Krokodil; krokodyl
der Elefant; słoń
der Tiger; tygrys
der Gorilla; goryl
das Kudu; kudu
der Leopard; lampart
der Bär; niedźwiedź
das Rentier; renifer
das Wiesel; łasica
der Hase; zając
das Kaninchen; królik
der Fuchs; lis
der Wolf; wilk
das Reh; jeleń
der Dachs; borsuk
das Wildschwein; dzik





